eab97a74b7e6d30d73a2b7675602b0 2172 6516 100   	0.0628847 0.197205 0.0854056   	0.113847 0.600046 0.155908   	0.116149 0.465396 0.000860886
b3972517548397ce48f0b27251cb5b 2172 6516 100   	0.0629275 0.199046 0.0861778   	0.11434 0.597315 0.156338   	0.115473 0.473654 0.000887671
e82657ffa9b1d5b073bc3d63303d70 2172 6516 100   	0.062663 0.197191 0.085414   	0.115367 0.63074 0.156775   	0.115956 0.444265 0.000829014
b7f80b1ff57b7985d76e87c30b7361 2172 6516 100   	0.0634173 0.199181 0.0861963   	0.115453 0.638289 0.152528   	0.116269 0.429093 0.000683243
a11a1309d7d7bdb59d9d9705d9a1d2 2715 8145 100   	0.0696115 0.200938 0.07855   	0.12532 0.730618 0.165082   	0.125163 0.654136 0.000924969
9e060e4050e569eb4cf2b51b983f03 2715 8145 100   	0.069467 0.202023 0.0783091   	0.125466 0.737791 0.164573   	0.126018 0.659643 0.000936187
4cb6b01ccb80a0985dd3c3da88dcde 2715 8145 100   	0.0693593 0.202676 0.0769913   	0.126389 0.736295 0.164679   	0.125386 0.65103 0.000919187
3a5f5f8194ed178c84e411e573696e 2715 8145 100   	0.0699547 0.195473 0.0848884   	0.125838 0.729054 0.163197   	0.12592 0.640504 0.000708406
f2c3bc64bef0772d206872e49a7e12 2715 8145 100   	0.0697547 0.203831 0.0799057   	0.126699 0.751425 0.168078   	0.125619 0.610794 0.000712203
cc349cbc2ef5f7ab9b231ee3533966 2715 8145 100   	0.0699259 0.194039 0.0839848   	0.126459 0.734732 0.175612   	0.126701 0.582847 0.00071075
e124bf3f6b6523517d34dc0d97f4cc 3393 10179 100   	0.0706991 0.180514 0.0839782   	0.130735 0.511563 0.15314   	0.128022 0.411165 0.000890662
2b20695713f5d13135e9b39f430b5e 3393 10179 100   	0.0709237 0.18143 0.0849958   	0.130988 0.534927 0.160136   	0.128903 0.399526 0.000877811
02d80d9b559fd8656c9b2558d970c5 3393 10179 100   	0.0704916 0.180979 0.0806821   	0.131168 0.516641 0.153287   	0.129597 0.399634 0.000886108
9aa6dcd62fbe84c1feb337db2a33be 3393 10179 100   	0.0709281 0.177879 0.0841555   	0.13303 0.517997 0.154789   	0.127403 0.393847 0.000683946
